,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,totalGames,winRate,masteryRatio,mostPlayedID
76,IRON,I,GA_VZoTV-YSMVhguXGUJo3yExPzq8OYWcChqOJoCnL461Iz_,ThoughtBow,18,3,13,16,18.75,1.0255463781887288,64.0
77,IRON,I,r0FAMThKIoxbRV3Ne02wpKyUFQxX2WCmKSgl831Vc_ajnpYI,itachi4hokage 1,0,23,51,74,31.08108108108108,1.05168440404982,21.0
78,IRON,I,bXeOghv3I-4PSr8B2_cbcKP008oF8fAAMVqAhtYShH22DL_w,arkangel88888,90,27,25,52,51.92307692307693,1.7435759506765425,24.0
79,IRON,I,6DyIwdWEQO_rDluFjHuI2n5s8jFRcsia-FXR5iGwxEUimagh,killzone2022,20,29,33,62,46.774193548387096,1.6543111253128828,81.0
80,IRON,I,4UKiiNUym40Yn8dxZzDdw5Dc86pUxL3kgJUw6pDMFG5oiMY9,AlredaNaruto1,8,4,6,10,40.0,10.277531050056455,91.0
81,IRON,I,QghAvhp2yPJRpaKNj45xg8Bfx1YIJIOeiWeTEJFAqXLggUD0,Quazepect,0,5,9,14,35.714285714285715,1.1802597814872622,11.0
82,IRON,I,kjQLB2qJq_k8MSmaVmCvIVVHG4yIC_RJF1-O3pd0UbEJDbEb,igyarados,54,22,30,52,42.30769230769231,3.842294467020944,35.0
83,IRON,I,XoB_NqSg8qsByh78nTqwSVyABdVcf9KTWSyuNx2b1YGBNchO,dundraburl,58,90,84,174,51.724137931034484,1.1686290460695326,18.0
84,IRON,I,Z3LdwNZbjPijMyvJfKpMHtB9VDSgvHSu9MM5m6j8aCgSCPPr,akeem alford,26,6,7,13,46.15384615384615,1.1795334450315762,7.0
85,IRON,I,wGbvBrW8DWDdv_RHjxjmEGUVF7W083V1_ui7hbWOIfHhjE3T,Esther Shin,13,11,5,16,68.75,1.1624964952615937,16.0
86,IRON,I,3jzjryvjS8A9Ds1ZO-0V_mz6N9MMCpf79k990S4DLsrr4UIy,Darveseth,55,67,68,135,49.629629629629626,1.5217131857555342,110.0
87,IRON,I,ppb_CoUrxhSBwhIvmllNILzxrR_lBD5512x3N0SEiYDspHyQ,CaptPlay,56,9,17,26,34.61538461538461,1.5490196078431373,238.0
88,IRON,I,qIBxHdTZX0H_8lhELy084zWO3ro_yCiVYSstTcDLJHCH0mpV,PhaseBrixx,33,8,7,15,53.333333333333336,1.3799061744223315,254.0
89,IRON,I,VRyfPQGk_SfZhEoWdCFJj4xAVAvIaWhEtwVGkfN7Sk1mfFwV,xJCris808x,61,7,11,18,38.88888888888889,3.8486324191717625,53.0
90,IRON,I,ZE2dKZdG9vLasuGxYe-S6KHE4rDnazPZpNBYjiV3wyjhRCB8,KoifishXDXD,55,14,14,28,50.0,2.7307590628201317,99.0
91,IRON,I,TF-CpnEB7HkTcoez6CXAojz4BeK3DRHZ9oGXWVBKoYA0z45k,Tempegaming,100,32,26,58,55.172413793103445,1.3003604182278843,267.0
92,IRON,I,cLvpFiYswsKoTNHqkeUd8agwHwBpfnIBUZpYHEjoXPOj20L7,MinusMinotaur,17,2,8,10,20.0,1.201799534865988,122.0
93,IRON,I,nJuU56TwZP00CwFQkv2FShM_Ef1Hqpgxg5ilEu73fbhDUQrR,HerionFathers,72,16,15,31,51.61290322580645,1.0400382143477505,28.0
94,IRON,I,CnJ-o0xHa27DsOnOm7fN1NiBrTSOqjrpD7lt1F27LoBH7PsM,shimaeida,45,5,13,18,27.77777777777778,3.9485181658153694,518.0
95,IRON,I,aVzPBB9N9M8iypD3ByFwaAXPz1LR1ER3NPNoJX9ewur_s7s-,YungSpoogatti,48,4,11,15,26.666666666666668,3.3149849191115988,133.0
96,IRON,I,RDXasl8oCmrjJ6i71qPIdBhZ8UMk4O7APeXkBWBWoPzvBYSy,lil zombie,38,16,23,39,41.02564102564102,1.1827155519742143,22.0
