,Unnamed: 0,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,totalGames,winRate,masteryRatio,mostPlayedID,key,name
348,3490,PLATINUM,II,IMfHXZ0BS4Wp9C38zEZfXmr0iIdR2A8B_TvAqe1ZzyjuLl7M,SpaceHonor,47,10,8,18,55.55555555555556,71.31666091755778,106.0,106.0,Volibear
349,3510,PLATINUM,II,0e9JjWqFpkTTnCTlpPxMAxxLAMGcCCQzqTLYInsE8VomFxu-,Sokal,18,139,105,244,56.9672131147541,9.47506817296455,429.0,429.0,Kalista
350,3558,PLATINUM,II,8MDtRWBdAPO65GVi0O0IxIDB0-9mS3z4X91HuNvWBjqCLffD,potatoeblasterll,55,90,86,176,51.13636363636363,6.059940849523227,429.0,429.0,Kalista
351,3905,PLATINUM,IV,v5CCYuyQIs_ZFdrvBEvm68CB4PamEeh0E0JOcaQK1S-roy2P,ObviousCharsi,0,157,149,306,51.307189542483655,18.7833440376793,429.0,429.0,Kalista
352,3690,PLATINUM,III,u007mW0RzKf7y1auFlQR5XIZAke8TviQo_b89kKGWTo7daK9,Please Cuddle,16,46,47,93,49.46236559139785,5.579733227155087,136.0,136.0,Aurelion Sol
353,3894,PLATINUM,IV,d0ygdNq6XSsxqWvBjFMUm7i5jtuVDulgFo1umkmJewByiIez,Iron4Shen,0,57,51,108,52.77777777777778,12.13294193519692,98.0,98.0,Shen
354,4133,DIAMOND,I,b1M1Q7ekk5lEfrARJNKqgRHBNrt_bxpIKGqYtLINu6tVOTwy,guacamole nipple,85,159,112,271,58.671586715867164,8.383263818975022,98.0,98.0,Shen
355,3901,PLATINUM,IV,4pbQfD-ZPv-U-TMt2u20t_ZOFfE_TL4DClANVP3t0IYUVv6N,LeagueOfDaveed,35,6,6,12,50.0,20.74366507528461,201.0,201.0,Braum
356,3918,PLATINUM,IV,-O5PJqhqR_4WW_UdSfANKMFrfzJRt79XbnRB0pqWhwauqDdy,Vayny,25,44,35,79,55.69620253164557,217.6163347617847,67.0,67.0,Vayne
357,3937,PLATINUM,IV,vWtE-lCdmMKDQobMXvKCUEqvXENY38pupt3mqP-KTzyGJKtG,AddMeGamerGirls,26,11,5,16,68.75,5.032067462138596,83.0,83.0,Yorick
358,4107,DIAMOND,I,bMHNJMbA15dBrxgvNvRzEL8Xsjf5GS8Qe5tAJpTKYCkxGoJ3,Z3SIeeper,65,35,31,66,53.03030303030303,9.551741328965171,83.0,83.0,Yorick
359,3957,PLATINUM,IV,LCEL_YSrZYHvqDG0rjJYE9b-xv_EwMErwvNLqYaZI0UZtqTK,Jgler Pick Sej,50,7,6,13,53.84615384615385,12.462782028644302,164.0,164.0,Camille
360,3994,PLATINUM,IV,1g0hjDUjp8SOWetJwItzzahY5dlZvZTMq2ooc86ziuASO73Y,zLORDofIDIOTS,56,180,162,342,52.63157894736842,23.781251258913105,266.0,266.0,Aatrox
