,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId,tier
3071,75,4,15674,1580097151000,3074,5926,False,0,35B2o1o_PYmxciZW5rY-D4fLnR8xAdIvuyCFOuW7EppbUriA,BRONZE
3072,75,5,82564,1583110408000,60964,0,True,2,PUTc6StCdqtQgQACDI3WNSUSypmcblUraCOA_um40Aoxi5SQ,BRONZE
3073,5,5,73235,1583041848000,51635,0,True,2,PUTc6StCdqtQgQACDI3WNSUSypmcblUraCOA_um40Aoxi5SQ,BRONZE
3074,11,5,55604,1583031394000,34004,0,True,2,PUTc6StCdqtQgQACDI3WNSUSypmcblUraCOA_um40Aoxi5SQ,BRONZE
3075,51,4,16071,1582475069000,3471,5529,False,0,trglYExRMx2KhoH4WoDrwsp77QxKhFGmQyPuW3BImncOtfWW,BRONZE
3076,22,3,10160,1582476528000,4160,2440,False,0,trglYExRMx2KhoH4WoDrwsp77QxKhFGmQyPuW3BImncOtfWW,BRONZE
3077,122,3,9757,1582600250000,3757,2843,False,0,trglYExRMx2KhoH4WoDrwsp77QxKhFGmQyPuW3BImncOtfWW,BRONZE
3078,412,7,89035,1583973423000,67435,0,True,0,M5_pHwMx1LAgyAVYkowxB12JPrKmk_iZDs_uM8kuF-OEKdRr,BRONZE
3079,2,7,80203,1583294876000,58603,0,True,0,M5_pHwMx1LAgyAVYkowxB12JPrKmk_iZDs_uM8kuF-OEKdRr,BRONZE
3080,80,6,53984,1583875274000,32384,0,True,0,M5_pHwMx1LAgyAVYkowxB12JPrKmk_iZDs_uM8kuF-OEKdRr,BRONZE
3081,202,7,41412,1583731209000,19812,0,False,0,DaL1ej5pw-Y88Ukd8xA78FdVi9EK1rzHgnQCMP_D27cExekr,BRONZE
3082,555,6,27782,1583642776000,6182,0,False,0,DaL1ej5pw-Y88Ukd8xA78FdVi9EK1rzHgnQCMP_D27cExekr,BRONZE
3083,236,6,26982,1583126119000,5382,0,False,0,DaL1ej5pw-Y88Ukd8xA78FdVi9EK1rzHgnQCMP_D27cExekr,BRONZE
3084,55,7,291495,1579395428000,269895,0,True,0,KyOFW_eBelIYMjAdedLTf9tUY5ZWwTAPmYUdPlq34ktjoZJ2,BRONZE
3085,84,7,166186,1579398519000,144586,0,True,0,KyOFW_eBelIYMjAdedLTf9tUY5ZWwTAPmYUdPlq34ktjoZJ2,BRONZE
